iter	RMSE
0	26.5255565
1	25.68920682
2	24.91257532
3	24.17010424
4	23.48182015
5	22.84289031
6	22.21662962
7	21.63552715
8	21.11793513
9	20.62842998
10	20.17438084
11	19.73160836
12	19.33825622
13	18.97397059
14	18.61903555
15	18.3054577
16	18.01279692
17	17.74064134
18	17.47497539
19	17.22310191
20	16.95773759
21	16.7154284
22	16.49969024
23	16.30154925
24	16.11457568
25	15.94226082
26	15.7937844
27	15.64032307
28	15.50425464
29	15.38068187
30	15.26490322
31	15.15562039
32	15.04502851
33	14.94900318
34	14.86570299
35	14.7904702
36	14.72462882
37	14.64578965
38	14.58879718
39	14.53390265
40	14.46689019
41	14.40595896
42	14.35919204
43	14.31723944
44	14.25490999
45	14.22103496
46	14.18211849
47	14.15521197
48	14.10360915
49	14.05785076
50	14.02936605
51	14.0060799
52	13.96932181
53	13.9395934
54	13.90980977
55	13.87968169
56	13.84930589
57	13.81836334
58	13.78208847
59	13.73999254
60	13.70303239
61	13.68920609
62	13.66425677
63	13.63290543
64	13.59876781
65	13.5701251
66	13.54077217
67	13.51684434
68	13.49174061
69	13.47901102
70	13.45721149
71	13.43059235
72	13.41268977
73	13.39309431
74	13.36901945
75	13.34894227
76	13.32166229
77	13.30530442
78	13.29271305
79	13.27777857
80	13.25945427
81	13.2424214
82	13.23222011
83	13.2107654
84	13.19687812
85	13.18271744
86	13.17436468
87	13.15404848
88	13.13576144
89	13.11897051
90	13.10478447
91	13.08408674
92	13.07728392
93	13.0642941
94	13.05157469
95	13.03908765
96	13.02916699
97	13.01873858
98	13.00713931
99	12.9997818
100	12.99129205
101	12.98000494
102	12.96967678
103	12.95785585
104	12.94052759
105	12.92979655
106	12.91361705
107	12.89973584
108	12.8930505
109	12.88340049
110	12.87737889
111	12.8699782
112	12.85979237
113	12.84486603
114	12.82892018
115	12.81181442
116	12.8038043
117	12.78712706
118	12.78065387
119	12.7800789
120	12.76156992
121	12.75655279
122	12.74796422
123	12.73291898
124	12.72028821
125	12.71223156
126	12.70227545
127	12.6920275
128	12.68335822
129	12.67694999
