iter	Passed	Remaining
401	17040	67738
402	17089	67720
403	17146	67736
404	17178	67653
405	17217	67599
406	17269	67593
407	17314	67559
408	17351	67495
409	17384	67418
410	17425	67371
411	17478	67370
412	17517	67311
413	17579	67344
414	17628	67327
415	17668	67275
416	17720	67268
417	17752	67188
418	17813	67214
419	17848	67143
420	17870	67024
421	17916	66995
422	17963	66972
423	18013	66955
424	18049	66888
425	18094	66857
426	18135	66807
427	18207	66875
428	18267	66896
429	18326	66911
430	18365	66858
431	18419	66854
432	18443	66747
433	18477	66673
434	18515	66613
435	18562	66588
436	18584	66471
437	18609	66366
438	18660	66353
439	18705	66320
440	18748	66277
441	18802	66276
442	18838	66212
443	18897	66227
444	18928	66141
445	18964	66078
446	19006	66033
447	19057	66022
448	19093	65956
449	19123	65868
450	19173	65853
451	19227	65848
452	19252	65746
453	19282	65663
454	19319	65602
455	19357	65543
456	19385	65452
457	19438	65446
458	19467	65358
459	19499	65280
460	19559	65298
461	19626	65337
462	19661	65271
463	19719	65278
464	19772	65271
465	19806	65199
466	19852	65168
467	19874	65058
468	19909	64991
469	19956	64963
470	19985	64878
471	20014	64792
472	20050	64730
473	20092	64686
474	20142	64667
475	20198	64669
476	20224	64574
477	20268	64535
478	20331	64560
479	20369	64504
480	20398	64419
481	20437	64366
482	20486	64343
483	20544	64351
484	20578	64281
485	20632	64274
486	20677	64240
487	20729	64226
488	20782	64219
489	20812	64137
490	20860	64110
491	20898	64053
492	20941	64012
493	21002	64026
494	21043	63980
495	21078	63914
496	21133	63910
497	21156	63810
498	21209	63797
499	21241	63724
500	21293	63710
501	21327	63643
502	21359	63569
503	21437	63632
504	21487	63610
505	21533	63577
506	21568	63514
507	21616	63488
508	21658	63442
509	21681	63343
510	21716	63279
511	21785	63314
512	21847	63328
513	21913	63351
514	21972	63357
515	22005	63286
516	22046	63240
517	22096	63216
518	22140	63179
519	22174	63112
520	22206	63039
521	22248	62995
522	22275	62908
523	22315	62858
524	22344	62778
525	22384	62727
526	22421	62670
527	22465	62631
528	22529	62646
529	22560	62573
530	22626	62596
531	22662	62535
532	22704	62491
533	22740	62430
534	22774	62364
535	22853	62420
536	22914	62426
537	22972	62427
538	23030	62426
539	23078	62398
540	23111	62328
541	23144	62258
542	23188	62221
543	23232	62181
544	23279	62150
545	23307	62066
546	23341	62002
547	23387	61967
548	23452	61984
549	23488	61924
550	23541	61909
551	23582	61860
552	23625	61818
553	23653	61739
554	23701	61710
555	23727	61624
556	23777	61600
557	23841	61611
558	23888	61580
559	23925	61523
560	23965	61472
561	24001	61413
562	24056	61402
563	24088	61331
564	24120	61261
565	24183	61269
566	24242	61268
567	24283	61221
568	24333	61198
569	24405	61227
570	24465	61227
571	24497	61157
572	24541	61117
573	24576	61055
574	24610	60991
575	24666	60980
576	24726	60979
577	24761	60919
578	24805	60878
579	24835	60805
580	24873	60750
581	24902	60674
582	24943	60625
583	24964	60531
584	25013	60503
585	25054	60454
586	25088	60391
587	25143	60377
588	25172	60303
589	25207	60240
590	25246	60190
591	25286	60140
592	25330	60100
593	25385	60087
594	25425	60038
595	25466	59991
596	25490	59905
